,Region,Metric,Standardised Value
365,GBR_0.5,Degree Centrality,-0.5416245385877839
366,GBR_0.5,Degree Centrality,-0.6152181299617866
367,GBR_0.5,Degree Centrality,-0.14912538459310284
368,GBR_0.5,Degree Centrality,-0.32084376446577584
369,GBR_0.5,Degree Centrality,0.0716553895289052
370,GBR_0.5,Degree Centrality,0.194311375152243
371,GBR_0.5,Degree Centrality,-0.07553179321910015
372,GBR_0.5,Degree Centrality,-0.6152181299617866
373,GBR_0.5,Degree Centrality,-0.5170933414631164
374,GBR_0.5,Degree Centrality,-0.3453749615904434
375,GBR_0.5,Degree Centrality,-0.5170933414631164
376,GBR_0.5,Degree Centrality,-0.07553179321910015
377,GBR_0.5,Degree Centrality,-0.3453749615904434
378,GBR_0.5,Degree Centrality,-0.7133429184604568
379,GBR_0.5,Degree Centrality,-0.5416245385877839
380,GBR_0.5,Degree Centrality,-0.3453749615904434
381,GBR_0.5,Degree Centrality,0.02259299527957008
382,GBR_0.5,Degree Centrality,-0.07553179321910015
383,GBR_0.5,Degree Centrality,-0.5661557357124515
384,GBR_0.5,Degree Centrality,-0.44349975008911363
385,GBR_0.5,Degree Centrality,-0.46803094721378125
386,GBR_0.5,Degree Centrality,-0.22271897596710558
387,GBR_0.5,Degree Centrality,-0.4189685529644461
388,GBR_0.5,Degree Centrality,0.2679049665262457
389,GBR_0.5,Degree Centrality,0.24337376940157812
390,GBR_0.5,Degree Centrality,-0.44349975008911363
391,GBR_0.5,Degree Centrality,-0.10006299034376771
392,GBR_0.5,Degree Centrality,-0.19818777884243802
393,GBR_0.5,Degree Centrality,-0.3453749615904434
394,GBR_0.5,Degree Centrality,-0.5416245385877839
395,GBR_0.5,Degree Centrality,-0.19818777884243802
396,GBR_0.5,Degree Centrality,-0.46803094721378125
397,GBR_0.5,Degree Centrality,-0.590686932837119
398,GBR_0.5,Degree Centrality,-0.36990615871511096
399,GBR_0.5,Degree Centrality,-0.5661557357124515
400,GBR_0.5,Degree Centrality,-0.3944373558397785
401,GBR_0.5,Degree Centrality,-0.5416245385877839
402,GBR_0.5,Degree Centrality,-0.4189685529644461
403,GBR_0.5,Degree Centrality,-0.3944373558397785
404,GBR_0.5,Degree Centrality,-0.44349975008911363
405,GBR_0.5,Degree Centrality,-0.36990615871511096
406,GBR_0.5,Degree Centrality,-0.36990615871511096
407,GBR_0.5,Degree Centrality,-0.36990615871511096
408,GBR_0.5,Degree Centrality,0.04712419240423764
409,GBR_0.5,Degree Centrality,-0.590686932837119
410,GBR_0.5,Degree Centrality,-0.19818777884243802
411,GBR_0.5,Degree Centrality,-0.36990615871511096
412,GBR_0.5,Degree Centrality,-0.5661557357124515
413,GBR_0.5,Degree Centrality,-0.4189685529644461
414,GBR_0.5,Degree Centrality,-0.46803094721378125
415,GBR_0.5,Degree Centrality,-0.44349975008911363
416,GBR_0.5,Degree Centrality,-0.6642805242111217
417,GBR_0.5,Degree Centrality,-0.5416245385877839
418,GBR_0.5,Degree Centrality,-0.6152181299617866
419,GBR_0.5,Degree Centrality,-0.46803094721378125
420,GBR_0.5,Degree Centrality,-0.12459418746843527
421,GBR_0.5,Degree Centrality,-0.6397493270864542
422,GBR_0.5,Degree Centrality,-0.44349975008911363
423,GBR_0.5,Degree Centrality,-0.5661557357124515
424,GBR_0.5,Degree Centrality,-0.5416245385877839
425,GBR_0.5,Degree Centrality,-0.3453749615904434
426,GBR_0.5,Degree Centrality,-0.46803094721378125
427,GBR_0.5,Degree Centrality,-0.2963125673411083
428,GBR_0.5,Degree Centrality,-0.4925621443384488
429,GBR_0.5,Degree Centrality,-0.22271897596710558
430,GBR_0.5,Degree Centrality,-0.4925621443384488
431,GBR_0.5,Degree Centrality,-0.36990615871511096
432,GBR_0.5,Degree Centrality,-0.4925621443384488
433,GBR_0.5,Degree Centrality,-0.46803094721378125
434,GBR_0.5,Degree Centrality,-0.5661557357124515
435,GBR_0.5,Degree Centrality,-0.10006299034376771
436,GBR_0.5,Degree Centrality,-0.44349975008911363
437,GBR_0.5,Degree Centrality,-0.5416245385877839
438,GBR_0.5,Degree Centrality,-0.5661557357124515
439,GBR_0.5,Degree Centrality,-0.4189685529644461
440,GBR_0.5,Degree Centrality,-0.22271897596710558
441,GBR_0.5,Degree Centrality,-0.6152181299617866
442,GBR_0.5,Degree Centrality,-0.7133429184604568
443,GBR_0.5,Degree Centrality,-0.6397493270864542
444,GBR_0.5,Degree Centrality,-0.44349975008911363
445,GBR_0.5,Degree Centrality,-0.6642805242111217
446,GBR_0.5,Degree Centrality,-0.6397493270864542
447,GBR_0.5,Degree Centrality,-0.5661557357124515
448,GBR_0.5,Degree Centrality,-0.2717813702164407
