,Region,Metric,Standardised Value
420,GBR,Degree Centrality,-0.30986779504077594
421,GBR,Degree Centrality,-0.30986779504077594
422,GBR,Degree Centrality,-0.3189740371777147
423,GBR,Degree Centrality,-0.3217059098187964
424,GBR,Degree Centrality,-0.317152788750327
425,GBR,Degree Centrality,-0.3053146739723066
426,GBR,Degree Centrality,-0.3280802793146535
427,GBR,Degree Centrality,-0.3162421645366331
428,GBR,Degree Centrality,-0.32534840667357184
429,GBR,Degree Centrality,-0.3162421645366331
430,GBR,Degree Centrality,-0.32261653403249024
431,GBR,Degree Centrality,-0.3080465466133882
432,GBR,Degree Centrality,-0.31077841925446986
433,GBR,Degree Centrality,-0.30258280133122495
434,GBR,Degree Centrality,-0.31077841925446986
435,GBR,Degree Centrality,-0.3189740371777147
436,GBR,Degree Centrality,-0.32534840667357184
437,GBR,Degree Centrality,-0.31806341296402085
438,GBR,Degree Centrality,-0.3280802793146535
439,GBR,Degree Centrality,-0.30986779504077594
440,GBR,Degree Centrality,-0.31988466139140864
441,GBR,Degree Centrality,-0.3217059098187964
442,GBR,Degree Centrality,-0.29074468655320457
443,GBR,Degree Centrality,-0.2588728390739189
444,GBR,Degree Centrality,-0.31351029189555146
445,GBR,Degree Centrality,-0.32079528560510245
446,GBR,Degree Centrality,-0.324437782459878
447,GBR,Degree Centrality,-0.3217059098187964
448,GBR,Degree Centrality,-0.3217059098187964
449,GBR,Degree Centrality,-0.31442091610924533
450,GBR,Degree Centrality,-0.3217059098187964
451,GBR,Degree Centrality,-0.3271696551009596
452,GBR,Degree Centrality,-0.3217059098187964
453,GBR,Degree Centrality,-0.3217059098187964
454,GBR,Degree Centrality,-0.3271696551009596
455,GBR,Degree Centrality,-0.32352715824618417
456,GBR,Degree Centrality,-0.32534840667357184
457,GBR,Degree Centrality,-0.3189740371777147
458,GBR,Degree Centrality,-0.32899090352834737
459,GBR,Degree Centrality,-0.3217059098187964
460,GBR,Degree Centrality,-0.32079528560510245
461,GBR,Degree Centrality,-0.32625903088726577
462,GBR,Degree Centrality,-0.3299015277420413
463,GBR,Degree Centrality,-0.32352715824618417
464,GBR,Degree Centrality,-0.317152788750327
465,GBR,Degree Centrality,-0.3271696551009596
466,GBR,Degree Centrality,-0.32534840667357184
467,GBR,Degree Centrality,-0.32625903088726577
468,GBR,Degree Centrality,-0.32625903088726577
469,GBR,Degree Centrality,-0.3125996676818576
470,GBR,Degree Centrality,-0.32625903088726577
471,GBR,Degree Centrality,-0.31988466139140864
472,GBR,Degree Centrality,-0.3299015277420413
473,GBR,Degree Centrality,-0.32625903088726577
474,GBR,Degree Centrality,-0.30713592239969434
475,GBR,Degree Centrality,-0.3308121519557351
476,GBR,Degree Centrality,-0.3034934255449188
477,GBR,Degree Centrality,-0.32899090352834737
478,GBR,Degree Centrality,-0.31351029189555146
479,GBR,Degree Centrality,-0.3280802793146535
480,GBR,Degree Centrality,-0.3299015277420413
481,GBR,Degree Centrality,-0.32079528560510245
482,GBR,Degree Centrality,-0.3053146739723066
483,GBR,Degree Centrality,-0.32261653403249024
484,GBR,Degree Centrality,-0.3271696551009596
485,GBR,Degree Centrality,-0.3271696551009596
486,GBR,Degree Centrality,-0.31988466139140864
487,GBR,Degree Centrality,-0.32625903088726577
488,GBR,Degree Centrality,-0.31806341296402085
489,GBR,Degree Centrality,-0.324437782459878
490,GBR,Degree Centrality,-0.3271696551009596
491,GBR,Degree Centrality,-0.3217059098187964
492,GBR,Degree Centrality,-0.3162421645366331
493,GBR,Degree Centrality,-0.3299015277420413
494,GBR,Degree Centrality,-0.3280802793146535
495,GBR,Degree Centrality,-0.31077841925446986
496,GBR,Degree Centrality,-0.31351029189555146
497,GBR,Degree Centrality,-0.3125996676818576
498,GBR,Degree Centrality,-0.32079528560510245
499,GBR,Degree Centrality,-0.3189740371777147
500,GBR,Degree Centrality,-0.3308121519557351
501,GBR,Degree Centrality,-0.32261653403249024
502,GBR,Degree Centrality,-0.31442091610924533
503,GBR,Degree Centrality,-0.32625903088726577
504,GBR,Degree Centrality,-0.32079528560510245
505,GBR,Degree Centrality,-0.32534840667357184
506,GBR,Degree Centrality,-0.3153315403229392
507,GBR,Degree Centrality,-0.3162421645366331
508,GBR,Degree Centrality,-0.31077841925446986
509,GBR,Degree Centrality,-0.32352715824618417
510,GBR,Degree Centrality,-0.29074468655320457
511,GBR,Degree Centrality,-0.32261653403249024
512,GBR,Degree Centrality,-0.32352715824618417
513,GBR,Degree Centrality,-0.3189740371777147
514,GBR,Degree Centrality,-0.324437782459878
515,GBR,Degree Centrality,-0.3217059098187964
516,GBR,Degree Centrality,-0.3271696551009596
517,GBR,Degree Centrality,-0.32352715824618417
518,GBR,Degree Centrality,-0.32261653403249024
519,GBR,Degree Centrality,-0.30986779504077594
520,GBR,Degree Centrality,-0.317152788750327
521,GBR,Degree Centrality,-0.32261653403249024
522,GBR,Degree Centrality,-0.3162421645366331
523,GBR,Degree Centrality,-0.3217059098187964
524,GBR,Degree Centrality,-0.32625903088726577
525,GBR,Degree Centrality,-0.32261653403249024
526,GBR,Degree Centrality,-0.32534840667357184
527,GBR,Degree Centrality,-0.3271696551009596
528,GBR,Degree Centrality,-0.324437782459878
529,GBR,Degree Centrality,-0.31988466139140864
530,GBR,Degree Centrality,-0.32625903088726577
531,GBR,Degree Centrality,-0.32079528560510245
532,GBR,Degree Centrality,-0.31351029189555146
533,GBR,Degree Centrality,-0.3125996676818576
534,GBR,Degree Centrality,-0.3007615529038372
535,GBR,Degree Centrality,-0.32261653403249024
536,GBR,Degree Centrality,-0.31988466139140864
537,GBR,Degree Centrality,-0.3189740371777147
538,GBR,Degree Centrality,-0.3153315403229392
539,GBR,Degree Centrality,-0.3125996676818576
540,GBR,Degree Centrality,-0.3217059098187964
541,GBR,Degree Centrality,-0.32534840667357184
542,GBR,Degree Centrality,-0.3189740371777147
543,GBR,Degree Centrality,-0.3125996676818576
544,GBR,Degree Centrality,-0.31988466139140864
545,GBR,Degree Centrality,-0.32899090352834737
546,GBR,Degree Centrality,-0.317152788750327
547,GBR,Degree Centrality,-0.32625903088726577
548,GBR,Degree Centrality,-0.3280802793146535
549,GBR,Degree Centrality,-0.3153315403229392
550,GBR,Degree Centrality,-0.32625903088726577
551,GBR,Degree Centrality,-0.3125996676818576
552,GBR,Degree Centrality,-0.31988466139140864
553,GBR,Degree Centrality,-0.32625903088726577
554,GBR,Degree Centrality,-0.32625903088726577
555,GBR,Degree Centrality,-0.317152788750327
556,GBR,Degree Centrality,-0.32625903088726577
557,GBR,Degree Centrality,-0.32079528560510245
558,GBR,Degree Centrality,-0.31442091610924533
559,GBR,Degree Centrality,-0.3153315403229392
560,GBR,Degree Centrality,-0.3271696551009596
561,GBR,Degree Centrality,-0.32625903088726577
562,GBR,Degree Centrality,-0.3271696551009596
563,GBR,Degree Centrality,-0.31351029189555146
564,GBR,Degree Centrality,-0.3280802793146535
565,GBR,Degree Centrality,-0.3217059098187964
566,GBR,Degree Centrality,-0.324437782459878
567,GBR,Degree Centrality,-0.3217059098187964
568,GBR,Degree Centrality,-0.32625903088726577
569,GBR,Degree Centrality,-0.31806341296402085
570,GBR,Degree Centrality,-0.31442091610924533
571,GBR,Degree Centrality,-0.324437782459878
572,GBR,Degree Centrality,-0.3280802793146535
573,GBR,Degree Centrality,-0.30258280133122495
574,GBR,Degree Centrality,-0.3189740371777147
575,GBR,Degree Centrality,-0.3162421645366331
576,GBR,Degree Centrality,-0.3280802793146535
577,GBR,Degree Centrality,-0.31806341296402085
578,GBR,Degree Centrality,-0.317152788750327
579,GBR,Degree Centrality,-0.3153315403229392
580,GBR,Degree Centrality,-0.324437782459878
581,GBR,Degree Centrality,-0.3016721771175311
