Name,Lat,Lon
Reef 340,13.82009063,-60.87836938
Reef 341,13.43596088,-80.03045123
Reef 342,13.64556363,-82.1504753
Reef 343,13.22617478,-82.65353186
Reef 344,13.33109058,-81.37792416
Reef 345,13.08621684,-82.61759925
Reef 346,13.016208,-82.47386881
Reef 347,13.0512149,-59.44106492
Reef 348,12.87613108,-83.3567844
Reef 349,12.86737367,-61.19277973
Reef 350,12.66586909,-83.37218409
Reef 351,12.45543354,-81.71928397
Reef 352,12.37823089,-83.39374366
Reef 353,12.35015153,-81.46775569
Reef 354,12.45543354,-70.05915158
Reef 355,12.49051807,-61.41735855
Reef 356,12.24482714,-71.83781584
Reef 357,12.20970966,-82.97692537
Reef 358,12.1043293,-72.19714196
Reef 359,12.1043293,-71.94561368
Reef 360,12.1043293,-83.12065581
Reef 361,12.06919325,-81.86301441
Reef 362,12.20970966,-69.08897107
Reef 363,12.06919325,-68.28048732
Reef 364,12.1043293,-61.5970216
Reef 365,11.99012033,-69.87050537
Reef 366,11.92860313,-67.61573401
Reef 367,11.75276303,-64.57942835
Reef 368,11.68239544,-72.6642659
Reef 369,11.68239544,-71.40662451
Reef 370,11.78794008,-66.66351981
Reef 371,11.71758147,-66.16046325
Reef 372,11.68239544,-64.36383268
Reef 373,11.29505695,-63.10619128
Reef 374,11.18932757,-74.20936819
Reef 375,11.18932757,-60.55497587
Reef 376,11.04829507,-74.42496386
Reef 377,10.90719476,-63.7889109
Reef 378,10.87190918,-65.33401319
Reef 379,10.76602745,-75.1795487
Reef 380,10.76602745,-66.08859802
Reef 381,10.73072525,-64.22010223
Reef 382,10.73072525,-63.87874243
Reef 383,10.75896734,-68.23736818
Reef 384,10.76602745,-60.91430199
Reef 385,10.62479398,-75.39514437
Reef 386,10.55415268,-66.51978936
Reef 387,10.48349516,-75.5029422
Reef 388,10.48349516,-67.16657637
Reef 389,10.48349516,-66.08859802
Reef 390,10.40104101,-67.88522859
Reef 391,10.27142625,-75.5029422
Reef 392,10.20070484,-64.65129357
Reef 393,10.30678103,-64.4356979
Reef 394,10.059215,-75.86226832
Reef 395,9.917663148,-82.97692537
Reef 396,9.705220935,-82.83319492
Reef 397,9.563517728,-82.68946448
Reef 398,9.705220935,-75.8263357
Reef 399,9.528082663,-79.22196748
Reef 400,9.528082663,-79.41959684
Reef 401,9.421755449,-78.95247289
Reef 402,9.279934944,-79.95858601
Reef 403,9.320460981,-76.21132797
Reef 404,9.279934944,-78.23382067
Reef 405,9.138057057,-76.14972921
Reef 406,9.06709686,-81.61148613
Reef 407,9.173531862,-82.24030683
Reef 408,9.138057057,-77.96432608
Reef 409,8.960630296,-76.34735857
Reef 410,8.854132527,-76.4371901
Reef 411,8.783116857,-81.53962091
Reef 412,8.783116857,-80.98266544
Reef 413,8.818626399,-77.6948315
Reef 414,8.712087584,-76.58092054
Reef 415,8.605518404,-77.37143799
Reef 416,8.569988658,-76.86838143
Reef 417,8.498919218,-77.29957277
Reef 418,23.44220405,-77.87449455
Reef 419,18.40991006,-94.83468712
Reef 420,20.9807557,-71.83781584
Reef 421,19.02249112,-92.10380865
Reef 422,11.11881985,-63.71704567
Reef 423,11.82311264,-64.50756312
